Line	Chrom	Start	Stop
EG31N	Chr2L	21445001	22715000
EG31N	Chr2L	22790001	23011544
EG31N	ChrX	1	155000
EG31N	ChrX	60001	700000
EG31N	ChrX	650001	1850000
EG31N	ChrX	2155001	4555000
EG31N	ChrX	4480001	5615000
EG31N	ChrX	5585001	6490000
EG31N	ChrX	6425001	7590000
EG31N	ChrX	7610001	9195000
EG31N	ChrX	9165001	10645000
EG31N	ChrX	10550001	10925000
EG31N	ChrX	11840001	15275000
EG31N	ChrX	15590001	16340000
EG31N	ChrX	18765001	19415000
EG31N	ChrX	19330001	20245000
EG31N	ChrX	20150001	21170000
EG31N	ChrX	21120001	21780000
EG31N	ChrX	21685001	22422827
EG31N	Chr3L	1	24543557
EG31N	Chr2R	1	1080000
EG31N	Chr2R	985001	1515000
EG31N	Chr2R	7045001	8540000
EG31N	Chr2R	8675001	9105000
EG31N	Chr2R	11265001	11965000
EG31N	Chr2R	20440001	20710000
EG31N	Chr2R	21045001	21146708
EG31N	Chr3R	1	1515000
EG31N	Chr3R	1680001	25505000
EG31N	Chr3R	25685001	27905000
EG33N	Chr2L	1	21515000
EG33N	Chr2L	21440001	23011544
EG33N	ChrX	1	110000
EG33N	ChrX	165001	490000
EG33N	ChrX	6175001	6505000
EG33N	ChrX	10580001	10820000
EG33N	ChrX	11265001	11550000
EG33N	ChrX	21230001	21500000
EG33N	ChrX	21425001	21780000
EG33N	ChrX	21705001	21930000
EG33N	ChrX	22160001	22422827
EG33N	Chr3L	23280001	24425000
EG33N	Chr3L	24365001	24543557
EG33N	Chr2R	1	7790000
EG33N	Chr2R	7730001	7980000
EG33N	Chr2R	9745001	13095000
EG33N	Chr2R	20990001	21146708
EG33N	Chr3R	80001	6005000
EG33N	Chr3R	6925001	27905000
EG34N	Chr2L	1	150000
EG34N	Chr2L	1675001	1915000
EG34N	Chr2L	21315001	21515000
EG34N	Chr2L	22270001	23011544
EG34N	ChrX	1	115000
EG34N	ChrX	15750001	15980000
EG34N	ChrX	19335001	19845000
EG34N	ChrX	20295001	22422827
EG34N	Chr3L	1	24450000
EG34N	Chr3L	24355001	24543557
EG34N	Chr2R	1	860000
EG34N	Chr2R	2200001	2410000
EG34N	Chr2R	2595001	2795000
EG34N	Chr2R	8850001	9100000
EG34N	Chr2R	11290001	11490000
EG34N	Chr2R	18430001	20785000
EG34N	Chr2R	20810001	21146708
EG34N	Chr3R	1	4690000
EG34N	Chr3R	4860001	27905000
EG35N	Chr2L	1	16360000
EG35N	Chr2L	16440001	17875000
EG35N	Chr2L	18365001	20350000
EG35N	Chr2L	20365001	21510000
EG35N	Chr2L	21440001	23011544
EG35N	ChrX	1	140000
EG35N	ChrX	335001	555000
EG35N	ChrX	6175001	6410000
EG35N	ChrX	10620001	10820000
EG35N	ChrX	11840001	12115000
EG35N	ChrX	12625001	13190000
EG35N	ChrX	13570001	14505000
EG35N	ChrX	14705001	14960000
EG35N	ChrX	20860001	21110000
EG35N	ChrX	21405001	22050000
EG35N	ChrX	22185001	22422827
EG35N	Chr3L	5310001	6855000
EG35N	Chr3L	23100001	24070000
EG35N	Chr3L	24005001	24270000
EG35N	Chr3L	24355001	24543557
EG35N	Chr2R	1	480000
EG35N	Chr2R	385001	3005000
EG35N	Chr2R	5835001	9105000
EG35N	Chr2R	9090001	17890000
EG35N	Chr2R	17805001	18980000
EG35N	Chr2R	19060001	21146708
EG35N	Chr3R	240001	440000
EG35N	Chr3R	670001	870000
EG35N	Chr3R	6900001	7100000
EG35N	Chr3R	8310001	9435000
EG35N	Chr3R	24960001	25170000
EG36N	Chr2L	3405001	4230000
EG36N	Chr2L	21300001	21510000
EG36N	Chr2L	22290001	22775000
EG36N	Chr2L	22755001	23011544
EG36N	ChrX	1	145000
EG36N	ChrX	495001	705000
EG36N	ChrX	5610001	5860000
EG36N	ChrX	10620001	10820000
EG36N	ChrX	11325001	11550000
EG36N	ChrX	12955001	13190000
EG36N	ChrX	14705001	14960000
EG36N	ChrX	21405001	22050000
EG36N	ChrX	22230001	22422827
EG36N	Chr3L	18455001	20435000
EG36N	Chr3L	20515001	24543557
EG36N	Chr2R	1	1040000
EG36N	Chr2R	1065001	1435000
EG36N	Chr2R	2195001	2410000
EG36N	Chr2R	11290001	11490000
EG36N	Chr2R	17520001	19860000
EG36N	Chr2R	19780001	21146708
EG36N	Chr3R	1	27905000
EG38N	Chr2L	1	15715000
EG38N	Chr2L	15630001	15835000
EG38N	Chr2L	15910001	16145000
EG38N	Chr2L	16065001	21510000
EG38N	Chr2L	21985001	23011544
EG38N	ChrX	1	195000
EG38N	ChrX	100001	400000
EG38N	ChrX	1495001	1695000
EG38N	ChrX	5565001	5860000
EG38N	ChrX	8050001	9740000
EG38N	ChrX	11325001	11535000
EG38N	ChrX	21440001	21780000
EG38N	ChrX	22250001	22422827
EG38N	Chr3L	1	18915000
EG38N	Chr3L	18855001	22585000
EG38N	Chr3L	22650001	24543557
EG38N	Chr2R	1	2120000
EG38N	Chr2R	2305001	3025000
EG38N	Chr2R	3220001	3520000
EG38N	Chr2R	6635001	7500000
EG38N	Chr2R	19130001	21146708
EG38N	Chr3R	1	1950000
EG38N	Chr3R	2155001	24625000
EG38N	Chr3R	24655001	27905000
EG44N	Chr2L	1	15850000
EG44N	Chr2L	15985001	17370000
EG44N	Chr2L	17380001	20430000
EG44N	Chr2L	20460001	21515000
EG44N	Chr2L	21445001	23011544
EG44N	ChrX	1	145000
EG44N	ChrX	11325001	11525000
EG44N	ChrX	16280001	16885000
EG44N	ChrX	21425001	21780000
EG44N	ChrX	22230001	22422827
EG44N	Chr3L	2220001	5435000
EG44N	Chr3L	8040001	8460000
EG44N	Chr3L	23335001	24543557
EG44N	Chr2R	1	2140000
EG44N	Chr2R	2060001	2310000
EG44N	Chr2R	2430001	3715000
EG44N	Chr2R	20485001	20685000
EG44N	Chr2R	21045001	21146708
EG44N	Chr3R	80001	300000
EG44N	Chr3R	240001	640000
EG44N	Chr3R	665001	870000
EG44N	Chr3R	9115001	9690000
EG44N	Chr3R	9790001	12460000
EG44N	Chr3R	12385001	27905000
EG46N	Chr2L	22100001	22380000
EG46N	Chr2L	22315001	22650000
EG46N	Chr2L	22880001	23011544
EG46N	ChrX	6400001	7555000
EG46N	ChrX	11350001	11550000
EG46N	ChrX	21430001	21905000
EG46N	ChrX	22315001	22422827
EG46N	Chr3L	30001	24543557
EG46N	Chr2R	1	400000
EG46N	Chr2R	7265001	8235000
EG46N	Chr2R	8185001	21146708
EG46N	Chr3R	1	4935000
EG46N	Chr3R	4955001	5585000
EG46N	Chr3R	5495001	6545000
EG46N	Chr3R	8620001	9140000
EG46N	Chr3R	9045001	11475000
EG46N	Chr3R	11505001	12050000
EG46N	Chr3R	11985001	14435000
EG46N	Chr3R	19260001	19515000
EG48N	Chr2L	1670001	1910000
EG48N	Chr2L	6495001	6755000
EG48N	Chr2L	7835001	8690000
EG48N	Chr2L	21290001	21510000
EG48N	Chr2L	22290001	23011544
EG48N	ChrX	1	115000
EG48N	ChrX	185001	510000
EG48N	ChrX	11325001	11555000
EG48N	ChrX	19190001	22422827
EG48N	Chr3L	1	24543557
EG48N	Chr2R	1	355000
EG48N	Chr2R	260001	915000
EG48N	Chr2R	2060001	2410000
EG48N	Chr2R	12210001	12490000
EG48N	Chr2R	21045001	21146708
EG48N	Chr3R	1	8590000
EG48N	Chr3R	8505001	9255000
EG48N	Chr3R	9185001	10965000
EG48N	Chr3R	10935001	27905000
EG49N	Chr2L	1675001	1915000
EG49N	Chr2L	20045001	20305000
EG49N	Chr2L	21310001	21540000
EG49N	Chr2L	21955001	22505000
EG49N	Chr2L	22465001	23011544
EG49N	ChrX	1	4585000
EG49N	ChrX	4500001	5935000
EG49N	ChrX	11315001	11565000
EG49N	ChrX	14075001	14505000
EG49N	ChrX	15750001	16050000
EG49N	ChrX	21205001	21800000
EG49N	ChrX	21705001	21905000
EG49N	ChrX	22240001	22422827
EG49N	Chr3L	7195001	10785000
EG49N	Chr3L	14680001	24543557
EG49N	Chr2R	1	1045000
EG49N	Chr2R	2055001	2290000
EG49N	Chr2R	11290001	11490000
EG49N	Chr2R	20485001	20685000
EG49N	Chr2R	21045001	21146708
EG49N	Chr3R	1	6970000
EG49N	Chr3R	7020001	8640000
EG49N	Chr3R	8775001	9155000
EG49N	Chr3R	9295001	27905000
EG50N	Chr2L	1670001	1910000
EG50N	Chr2L	21320001	21550000
EG50N	Chr2L	22000001	23011544
EG50N	ChrX	1	1775000
EG50N	ChrX	2840001	3825000
EG50N	ChrX	6210001	8285000
EG50N	ChrX	8535001	8935000
EG50N	ChrX	11205001	11775000
EG50N	ChrX	21285001	21495000
EG50N	ChrX	21405001	21780000
EG50N	ChrX	22240001	22422827
EG50N	Chr3L	23630001	24425000
EG50N	Chr3L	24335001	24543557
EG50N	Chr2R	1	1115000
EG50N	Chr2R	11290001	11490000
EG50N	Chr2R	21045001	21146708
EG50N	Chr3R	3765001	3975000
EG50N	Chr3R	5955001	7995000
EG50N	Chr3R	8010001	12115000
EG50N	Chr3R	12055001	27905000
EG53N	Chr2L	1	19540000
EG53N	Chr2L	19510001	21515000
EG53N	Chr2L	21440001	23011544
EG53N	ChrX	1	120000
EG53N	ChrX	4505001	4815000
EG53N	ChrX	7640001	8130000
EG53N	ChrX	10620001	10820000
EG53N	ChrX	11310001	11535000
EG53N	ChrX	11840001	12115000
EG53N	ChrX	12920001	13185000
EG53N	ChrX	17220001	18750000
EG53N	ChrX	18835001	21230000
EG53N	ChrX	21505001	21755000
EG53N	ChrX	21660001	21780000
EG53N	ChrX	22030001	22255000
EG53N	ChrX	22170001	22422827
EG53N	Chr3L	13030001	24543557
EG53N	Chr2R	1	3830000
EG53N	Chr2R	4310001	6005000
EG53N	Chr2R	11290001	11490000
EG53N	Chr2R	13540001	14045000
EG53N	Chr2R	20485001	20685000
EG53N	Chr2R	21045001	21146708
EG53N	Chr3R	1	27905000
EG54N	Chr2L	1	125000
EG54N	Chr2L	1675001	1910000
EG54N	Chr2L	7180001	7680000
EG54N	Chr2L	7650001	10625000
EG54N	Chr2L	10540001	11060000
EG54N	Chr2L	10970001	12460000
EG54N	Chr2L	21310001	21510000
EG54N	Chr2L	22000001	22305000
EG54N	Chr2L	22290001	23011544
EG54N	ChrX	1	375000
EG54N	ChrX	335001	545000
EG54N	ChrX	9215001	9550000
EG54N	ChrX	10620001	10820000
EG54N	ChrX	11315001	11555000
EG54N	ChrX	14180001	14780000
EG54N	ChrX	18245001	19180000
EG54N	ChrX	21405001	21780000
EG54N	ChrX	22190001	22422827
EG54N	Chr3L	1	1065000
EG54N	Chr3L	1270001	24543557
EG54N	Chr2R	1	410000
EG54N	Chr2R	315001	715000
EG54N	Chr2R	660001	1125000
EG54N	Chr2R	1190001	1635000
EG54N	Chr2R	2110001	2315000
EG54N	Chr2R	11290001	11490000
EG54N	Chr2R	12225001	16370000
EG54N	Chr2R	16895001	20075000
EG54N	Chr2R	20485001	20685000
EG54N	Chr2R	21045001	21146708
EG54N	Chr3R	1	23800000
EG54N	Chr3R	23705001	24855000
EG54N	Chr3R	24775001	27905000
EG55N	Chr2L	1	115000
EG55N	Chr2L	7175001	9490000
EG55N	Chr2L	21300001	21510000
EG55N	Chr2L	22015001	23011544
EG55N	ChrX	1	140000
EG55N	ChrX	100001	430000
EG55N	ChrX	345001	585000
EG55N	ChrX	5610001	5900000
EG55N	ChrX	6175001	6445000
EG55N	ChrX	10620001	10825000
EG55N	ChrX	11315001	11625000
EG55N	ChrX	11840001	12115000
EG55N	ChrX	14070001	14650000
EG55N	ChrX	21405001	21780000
EG55N	ChrX	22185001	22422827
EG55N	Chr3L	17550001	24543557
EG55N	Chr2R	1	480000
EG55N	Chr2R	395001	1025000
EG55N	Chr2R	2060001	2310000
EG55N	Chr2R	21045001	21146708
EG55N	Chr3R	1	5240000
EG55N	Chr3R	6900001	7100000
EG55N	Chr3R	19255001	19515000
EG57N	Chr2L	1	1285000
EG57N	Chr2L	1275001	5115000
EG57N	Chr2L	10290001	14400000
EG57N	Chr2L	14440001	14930000
EG57N	Chr2L	15085001	20005000
EG57N	Chr2L	21300001	21515000
EG57N	Chr2L	21435001	21570000
EG57N	Chr2L	21480001	21830000
EG57N	Chr2L	22005001	23011544
EG57N	ChrX	1	115000
EG57N	ChrX	2575001	2955000
EG57N	ChrX	14220001	14650000
EG57N	ChrX	20860001	21125000
EG57N	ChrX	21405001	21730000
EG57N	ChrX	21685001	22060000
EG57N	ChrX	22190001	22422827
EG57N	Chr3L	22860001	24543557
EG57N	Chr2R	1	2975000
EG57N	Chr2R	20485001	20685000
EG57N	Chr2R	21045001	21146708
EG57N	Chr3R	19260001	19515000
EG57N	Chr3R	21865001	22085000
EG58N	Chr2L	1	120000
EG58N	Chr2L	21300001	21545000
EG58N	Chr2L	21570001	21770000
EG58N	Chr2L	21965001	22335000
EG58N	Chr2L	22265001	23011544
EG58N	ChrX	1	375000
EG58N	ChrX	3040001	4250000
EG58N	ChrX	5610001	5860000
EG58N	ChrX	6905001	7290000
EG58N	ChrX	11315001	11550000
EG58N	ChrX	11840001	12145000
EG58N	ChrX	13370001	14060000
EG58N	ChrX	14070001	14380000
EG58N	ChrX	15290001	15520000
EG58N	ChrX	19730001	19975000
EG58N	ChrX	19885001	20180000
EG58N	ChrX	20855001	21115000
EG58N	ChrX	21190001	21770000
EG58N	ChrX	22185001	22422827
EG58N	Chr3L	1	12115000
EG58N	Chr3L	12025001	20135000
EG58N	Chr3L	20230001	24543557
EG58N	Chr2R	1	1615000
EG58N	Chr2R	2060001	2445000
EG58N	Chr2R	17385001	17635000
EG58N	Chr2R	18720001	19235000
EG58N	Chr2R	20485001	20685000
EG58N	Chr2R	21045001	21146708
EG58N	Chr3R	1	5760000
EG59N	Chr2L	21360001	21510000
EG59N	Chr2L	22115001	22380000
EG59N	Chr2L	22710001	22960000
EG59N	Chr2L	22910001	23011544
EG59N	ChrX	1	115000
EG59N	ChrX	21425001	21780000
EG59N	ChrX	21705001	21905000
EG59N	ChrX	22230001	22422827
EG59N	Chr3L	1	24543557
EG59N	Chr2R	1	170000
EG59N	Chr2R	80001	285000
EG59N	Chr2R	2110001	2400000
EG59N	Chr2R	21045001	21146708
EG59N	Chr3R	1	3855000
EG59N	Chr3R	3765001	27905000
EG65N	Chr2L	1	125000
EG65N	Chr2L	210001	2260000
EG65N	Chr2L	10090001	11165000
EG65N	Chr2L	11135001	12600000
EG65N	Chr2L	12575001	13235000
EG65N	Chr2L	20045001	20300000
EG65N	Chr2L	21295001	21510000
EG65N	Chr2L	22005001	22770000
EG65N	Chr2L	22705001	22960000
EG65N	Chr2L	22880001	23011544
EG65N	ChrX	1	115000
EG65N	ChrX	170001	530000
EG65N	ChrX	11840001	12175000
EG65N	ChrX	19775001	20200000
EG65N	ChrX	20855001	21230000
EG65N	ChrX	21440001	21780000
EG65N	ChrX	22230001	22422827
EG65N	Chr3L	1	24543557
EG65N	Chr2R	1	1285000
EG65N	Chr2R	1285001	1595000
EG65N	Chr2R	2060001	2425000
EG65N	Chr2R	4815001	5850000
EG65N	Chr2R	5760001	8200000
EG65N	Chr2R	8245001	21146708
EG65N	Chr3R	1	9580000
EG65N	Chr3R	9490001	10850000
EG65N	Chr3R	10755001	27905000
EG70N	Chr2L	1	960000
EG70N	Chr2L	21255001	21505000
EG70N	Chr2L	21440001	21690000
EG70N	Chr2L	22275001	22505000
EG70N	Chr2L	22445001	23011544
EG70N	ChrX	1	140000
EG70N	ChrX	5610001	5865000
EG70N	ChrX	9895001	11240000
EG70N	ChrX	11325001	11555000
EG70N	ChrX	14110001	14505000
EG70N	ChrX	20860001	21140000
EG70N	ChrX	21435001	21780000
EG70N	ChrX	21685001	21935000
EG70N	ChrX	22265001	22422827
EG70N	Chr3L	1	1235000
EG70N	Chr3L	1960001	2230000
EG70N	Chr3L	2300001	3235000
EG70N	Chr3L	23215001	23640000
EG70N	Chr3L	23555001	24230000
EG70N	Chr3L	24355001	24543557
EG70N	Chr2R	1	410000
EG70N	Chr2R	375001	720000
EG70N	Chr2R	660001	1115000
EG70N	Chr2R	8810001	9205000
EG70N	Chr2R	11290001	11500000
EG70N	Chr2R	20485001	20685000
EG70N	Chr2R	21045001	21146708
EG70N	Chr3R	240001	440000
EG70N	Chr3R	670001	870000
EG70N	Chr3R	3765001	3975000
EG70N	Chr3R	6900001	7100000
EG70N	Chr3R	10170001	12815000
EG70N	Chr3R	12735001	27905000
EG74N	Chr2L	1	21510000
EG74N	Chr2L	21440001	23011544
EG74N	ChrX	1	105000
EG74N	ChrX	3455001	3660000
EG74N	ChrX	6190001	6410000
EG74N	ChrX	11350001	11550000
EG74N	ChrX	21510001	21905000
EG74N	ChrX	22320001	22422827
EG74N	Chr3L	20600001	24543557
EG74N	Chr2R	1	1125000
EG74N	Chr2R	1220001	2075000
EG74N	Chr2R	2020001	8035000
EG74N	Chr2R	7975001	21146708
EG74N	Chr3R	1	425000
EG74N	Chr3R	345001	5235000
EG74N	Chr3R	5160001	9120000
EG74N	Chr3R	9030001	9730000
EG74N	Chr3R	9675001	12910000
EG74N	Chr3R	13170001	27905000
EG75N	Chr2L	1	17705000
EG75N	Chr2L	17615001	18190000
EG75N	Chr2L	18465001	21515000
EG75N	Chr2L	21445001	23011544
EG75N	ChrX	1	2790000
EG75N	ChrX	2965001	3430000
EG75N	ChrX	3785001	5115000
EG75N	ChrX	11320001	11645000
EG75N	ChrX	21405001	21780000
EG75N	ChrX	21705001	21960000
EG75N	ChrX	22315001	22422827
EG75N	Chr3L	1	24543557
EG75N	Chr2R	1	5335000
EG75N	Chr2R	12970001	15115000
EG75N	Chr2R	15285001	17790000
EG75N	Chr2R	19275001	20300000
EG75N	Chr2R	21045001	21146708
EG75N	Chr3R	1	1765000
EG75N	Chr3R	2745001	9055000
EG75N	Chr3R	9075001	9730000
EG75N	Chr3R	9650001	10890000
EG75N	Chr3R	11950001	21065000
EG75N	Chr3R	21505001	27905000
EG76N	Chr2L	21440001	21745000
EG76N	Chr2L	21980001	22505000
EG76N	Chr2L	22515001	23011544
EG76N	ChrX	1	160000
EG76N	ChrX	340001	545000
EG76N	ChrX	460001	705000
EG76N	ChrX	3555001	3990000
EG76N	ChrX	5250001	5570000
EG76N	ChrX	6950001	7235000
EG76N	ChrX	7780001	8030000
EG76N	ChrX	10030001	10340000
EG76N	ChrX	13810001	14505000
EG76N	ChrX	21440001	21780000
EG76N	ChrX	22200001	22422827
EG76N	Chr3L	1	6005000
EG76N	Chr3L	6180001	24543557
EG76N	Chr2R	1	1380000
EG76N	Chr2R	2060001	2310000
EG76N	Chr2R	2215001	2450000
EG76N	Chr2R	20485001	20685000
EG76N	Chr2R	21045001	21146708
EG76N	Chr3R	1	11690000
EG76N	Chr3R	12385001	27905000
