# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5-HT1B	FBgn0263116	FBtr0330055	protein_coding	0	29	7	201	22	0	13	25	0	112	7	0	0	0	5	0	0	0	0	25	33
5-HT1B	FBgn0263116	FBtr0330056	protein_coding	0	32	7	198	22	0	13	25	0	109	7	0	0	0	5	0	0	0	0	28	33
5-HT2A	FBgn0087012	FBtr0078854	protein_coding	0	12	13	117	13	0	5	7	0	86	13	0	0	0	1	0	0	0	0	11	7
5-HT2A	FBgn0087012	FBtr0078855	protein_coding	0	14	14	114	4	0	5	7	0	92	14	0	0	0	1	0	0	0	0	13	7
5-HT2A	FBgn0087012	FBtr0300474	protein_coding	0	11	8	90	2	0	5	4	0	73	8	0	0	0	1	0	0	0	0	10	7
5-HT2A	FBgn0087012	FBtr0339395	protein_coding	0	15	14	74	4	1	9	7	0	53	14	0	0	0	1	0	0	0	0	13	2
5-HT2A	FBgn0087012	FBtr0339397	protein_coding	0	14	14	114	4	0	5	7	0	92	14	0	0	0	1	0	0	0	0	13	7
5-HT2B	FBgn0261929	FBtr0303603	protein_coding	0	22	10	630	13	0	9	25	0	573	10	0	0	0	2	0	0	0	0	20	12
5-HT2B	FBgn0261929	FBtr0330144	protein_coding	0	25	13	624	7	0	9	25	0	573	13	0	0	0	2	0	0	0	0	23	12
5-HT2B	FBgn0261929	FBtr0339322	protein_coding	0	22	10	666	53	0	9	21	0	573	10	0	0	0	2	0	0	0	0	20	12
5-HT7	FBgn0004573	FBtr0085746	protein_coding	0	51	3	1356	18	2	16	11	0	1282	3	0	0	0	0	0	0	0	0	49	29
5-HT7	FBgn0004573	FBtr0334508	protein_coding	0	51	3	1369	28	2	20	14	0	1278	3	0	0	0	0	0	0	0	0	49	29
5PtaseI	FBgn0259178	FBtr0299660	protein_coding	0	12	5	156	12	0	0	12	0	98	5	0	0	0	4	0	0	0	0	10	36
5PtaseI	FBgn0259178	FBtr0299661	protein_coding	0	25	17	127	23	0	0	27	0	43	17	0	0	0	3	0	0	0	0	23	36
5PtaseI	FBgn0259178	FBtr0474081	protein_coding	0	16	10	147	3	0	0	12	0	98	10	0	0	0	4	0	0	0	0	14	36
5SrRNA:CR33353	FBgn0053353	FBtr0086345	rRNA	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
5SrRNA:CR33354	FBgn0053354	FBtr0086346	rRNA	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
5SrRNA:CR33355	FBgn0053355	FBtr0086347	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5SrRNA:CR33450	FBgn0053450	FBtr0086442	rRNA	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33451	FBgn0053451	FBtr0086443	rRNA	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33452	FBgn0053452	FBtr0086444	rRNA	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
7B2	FBgn0041707	FBtr0078789	protein_coding	0	5	1	18	1	0	2	7	0	0	1	0	0	0	0	0	0	0	0	5	8
7B2	FBgn0041707	FBtr0301640	protein_coding	0	5	1	18	1	0	2	7	0	0	1	0	0	0	0	0	0	0	0	5	8
7SLRNA:CR32864	FBgn0000003	FBtr0081624	lincRNA	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
7SLRNA:CR42652	FBgn0261504	FBtr0302398	lincRNA	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
825-Oak	FBgn0052208	FBtr0273406	protein_coding	0	0	0	22	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	17
A16	FBgn0028965	FBtr0080427	protein_coding	0	9	3	41	0	1	3	15	0	17	3	0	0	0	1	0	0	0	0	7	7
AANAT1	FBgn0019643	FBtr0072254	protein_coding	0	9	5	295	8	1	8	15	0	235	5	0	0	0	0	0	0	0	0	8	29
AANAT1	FBgn0019643	FBtr0072255	protein_coding	0	11	5	84	8	1	5	15	0	29	5	0	0	0	0	0	0	0	0	10	27
AANATL2	FBgn0031791	FBtr0079243	protein_coding	0	23	5	81	6	0	0	40	0	0	5	0	0	0	0	0	0	0	0	23	35
AANATL2	FBgn0031791	FBtr0340167	protein_coding	0	23	5	81	11	0	0	35	0	0	5	0	0	0	0	0	0	0	0	23	35
AANATL3	FBgn0032839	FBtr0081350	protein_coding	1	10	11	8	0	0	1	0	0	0	11	0	0	0	0	0	1	0	0	10	7
AANATL4	FBgn0034429	FBtr0086514	protein_coding	0	10	7	29	0	0	0	12	0	0	7	0	0	0	0	0	0	0	0	10	17
AANATL5	FBgn0034426	FBtr0086562	protein_coding	0	6	6	59	0	0	0	40	0	0	6	0	0	0	0	0	0	0	0	6	19
AANATL6	FBgn0034428	FBtr0300592	protein_coding	1	4	1	67	6	0	0	29	0	0	1	0	0	0	0	0	1	0	0	4	32
AANATL7	FBgn0040376	FBtr0070437	protein_coding	0	11	5	32	0	0	2	13	0	0	5	0	0	0	0	0	0	0	0	11	17
AANATL7	FBgn0040376	FBtr0302447	protein_coding	0	11	5	69	0	0	3	13	0	38	5	0	0	0	0	0	0	0	0	11	15
AANATL7	FBgn0040376	FBtr0302448	protein_coding	0	11	5	32	0	0	2	13	0	0	5	0	0	0	0	0	0	0	0	11	17
AANATL7	FBgn0040376	FBtr0302449	protein_coding	0	11	5	40	0	0	1	13	0	5	5	0	0	0	0	0	0	0	0	11	21
ABCA	FBgn0031170	FBtr0306679	protein_coding	0	38	14	127	13	2	7	4	0	95	14	0	0	0	2	0	0	0	0	35	9
ABCA	FBgn0031170	FBtr0332488	protein_coding	0	39	14	81	4	2	11	4	0	52	14	0	0	0	3	0	0	0	0	35	11
ABCA	FBgn0031170	FBtr0332489	protein_coding	0	39	14	126	6	2	10	4	0	99	14	0	0	0	3	0	0	0	0	35	9
ABCB7	FBgn0035244	FBtr0072754	protein_coding	0	59	9	133	8	0	0	24	0	80	9	0	0	0	0	0	0	0	0	59	21
ABCB7	FBgn0035244	FBtr0072755	protein_coding	0	59	9	130	3	0	0	26	0	80	9	0	0	0	0	0	0	0	0	59	21
ACC	FBgn0033246	FBtr0088871	protein_coding	0	48	13	140	3	0	0	12	0	114	13	0	0	0	4	0	0	0	0	45	14
ACC	FBgn0033246	FBtr0088872	protein_coding	0	47	11	143	3	0	1	12	0	116	11	0	0	0	4	0	0	0	0	44	14
ACC	FBgn0033246	FBtr0113053	protein_coding	0	47	11	143	3	0	1	12	0	116	11	0	0	0	4	0	0	0	0	44	14
ACC	FBgn0033246	FBtr0339123	protein_coding	0	50	11	86	3	1	8	12	0	51	11	0	0	0	5	0	0	0	0	45	16
ACC	FBgn0033246	FBtr0339124	protein_coding	0	48	11	176	3	1	3	12	0	149	11	0	0	0	4	0	0	0	0	44	12
ACC	FBgn0033246	FBtr0339125	protein_coding	0	51	11	202	3	4	8	12	0	167	11	0	0	0	4	0	0	0	0	44	15
ACXA	FBgn0040510	FBtr0080415	protein_coding	0	38	6	71	4	0	0	41	0	21	6	0	0	0	2	0	0	0	1	35	7
ACXA	FBgn0040510	FBtr0305490	protein_coding	0	38	6	71	4	0	0	41	0	21	6	0	0	0	2	0	0	0	1	35	7
ACXA	FBgn0040510	FBtr0305491	protein_coding	0	12	4	99	32	0	0	41	0	21	4	0	0	0	2	0	0	0	0	10	7
ACXA	FBgn0040510	FBtr0333225	protein_coding	0	29	6	80	14	0	0	41	0	20	6	0	0	0	3	0	0	0	0	27	7
ACXA	FBgn0040510	FBtr0344132	protein_coding	0	12	2	102	34	0	0	41	0	21	2	0	0	0	2	0	0	0	0	10	7
ACXB	FBgn0040509	FBtr0080414	protein_coding	0	35	14	55	0	0	0	9	0	29	14	0	0	0	6	0	0	0	0	30	22
ACXC	FBgn0040508	FBtr0080413	protein_coding	0	51	8	56	0	0	1	16	0	26	8	0	0	0	7	0	0	0	0	46	18
ACXC	FBgn0040508	FBtr0100494	protein_coding	0	19	1	97	42	0	1	16	0	25	1	0	0	0	7	0	0	0	0	12	18
ACXD	FBgn0040507	FBtr0072874	protein_coding	0	61	4	111	3	4	13	12	0	67	4	0	0	0	4	0	0	0	0	53	20
ACXD	FBgn0040507	FBtr0332662	protein_coding	0	33	0	143	35	4	13	12	0	67	0	0	0	0	4	0	0	0	0	25	20
ACXE	FBgn0040506	FBtr0310556	protein_coding	0	72	15	79	0	0	0	27	0	33	15	0	0	0	5	0	0	0	0	68	23
ADD1	FBgn0026573	FBtr0088041	protein_coding	0	47	10	22	2	1	4	11	0	6	10	0	0	0	1	0	0	0	0	45	0
ADD1	FBgn0026573	FBtr0088042	protein_coding	0	37	14	81	14	1	4	28	0	35	14	0	0	0	1	0	0	0	0	35	0
ADD1	FBgn0026573	FBtr0346629	protein_coding	0	39	10	30	2	1	4	11	0	14	10	0	0	0	1	0	0	0	0	37	0
ADPS	FBgn0033983	FBtr0087428	protein_coding	0	39	7	88	2	0	11	19	0	30	7	0	0	0	1	0	0	0	0	38	27
ADPS	FBgn0033983	FBtr0303760	protein_coding	0	39	7	96	8	0	7	21	0	34	7	0	0	0	1	0	0	0	0	38	27
ADPS	FBgn0033983	FBtr0303761	protein_coding	0	40	7	119	2	0	14	19	0	76	7	0	0	0	2	0	0	0	0	38	10
ADPS	FBgn0033983	FBtr0303762	protein_coding	0	40	7	119	2	0	6	19	0	84	7	0	0	0	2	0	0	0	0	38	10
AGBE	FBgn0053138	FBtr0087732	protein_coding	0	25	4	78	0	0	1	34	0	17	4	0	0	0	1	0	0	0	0	24	27
AGO1	FBgn0262739	FBtr0087612	protein_coding	0	31	1	265	45	0	8	44	0	153	1	0	0	0	3	0	0	0	0	28	18
AGO1	FBgn0262739	FBtr0087613	protein_coding	0	30	1	129	4	0	2	2	0	91	1	0	0	0	2	0	0	0	0	28	32
AGO1	FBgn0262739	FBtr0087614	protein_coding	0	29	1	114	22	0	0	15	0	67	1	0	0	0	2	0	0	0	0	27	12
AGO1	FBgn0262739	FBtr0305592	protein_coding	0	31	1	285	59	0	8	50	0	153	1	0	0	0	3	0	0	0	0	28	18
AGO2	FBgn0087035	FBtr0075559	protein_coding	0	10	7	9	0	0	0	2	0	6	7	0	0	0	0	0	0	0	0	10	1
AGO2	FBgn0087035	FBtr0075560	protein_coding	0	10	7	9	0	0	0	2	0	6	7	0	0	0	0	0	0	0	0	10	1
AGO2	FBgn0087035	FBtr0331933	protein_coding	0	11	5	8	0	1	3	2	0	2	5	0	0	0	0	0	0	0	0	10	1
AGO3	FBgn0250816	FBtr0299880	protein_coding	0	1	2	158	0	0	0	4	0	139	2	0	0	0	0	0	0	0	0	1	15
AGO3	FBgn0250816	FBtr0299881	protein_coding	0	3	2	162	0	2	3	4	0	154	2	0	0	0	0	0	0	0	0	1	1
AGO3	FBgn0250816	FBtr0299882	protein_coding	0	1	2	162	0	0	0	4	0	157	2	0	0	0	0	0	0	0	0	1	1
AGO3	FBgn0250816	FBtr0301725	protein_coding	0	1	3	112	0	0	0	5	0	92	3	0	0	0	0	0	0	0	0	1	15
AIF	FBgn0031392	FBtr0077830	protein_coding	0	14	2	66	13	2	5	25	0	17	2	0	0	0	2	0	0	0	0	10	8
AIF	FBgn0031392	FBtr0077831	protein_coding	0	15	5	57	5	2	5	28	0	13	5	0	0	0	2	0	0	0	0	11	8
AIF	FBgn0031392	FBtr0330657	protein_coding	0	15	5	62	13	2	5	25	0	13	5	0	0	0	2	0	0	0	0	11	8
AIMP1	FBgn0033351	FBtr0088676	protein_coding	0	4	9	24	2	0	0	20	0	1	9	0	0	0	1	0	0	0	0	3	2
AIMP2	FBgn0036515	FBtr0075565	protein_coding	0	9	5	36	0	0	0	18	0	8	5	0	0	0	1	0	0	0	0	9	10
AIMP2	FBgn0036515	FBtr0075566	protein_coding	0	8	3	39	0	0	0	18	0	11	3	0	0	0	0	0	0	0	0	8	10
AIMP3	FBgn0050185	FBtr0072060	protein_coding	0	12	5	55	2	1	4	24	0	0	5	0	0	0	0	0	0	0	0	11	25
ALiX	FBgn0086346	FBtr0085241	protein_coding	0	38	9	87	10	0	5	37	0	23	9	0	0	0	2	0	0	0	0	36	14
AMPKalpha	FBgn0023169	FBtr0070216	protein_coding	0	7	1	21	7	0	0	5	0	5	1	0	0	0	0	0	0	0	0	7	4
AMPKalpha	FBgn0023169	FBtr0070217	protein_coding	0	7	1	21	8	0	1	4	0	4	1	0	0	0	0	0	0	0	0	7	4
AMPKalpha	FBgn0023169	FBtr0070218	protein_coding	0	7	1	21	8	0	0	4	0	5	1	0	0	0	0	0	0	0	0	7	4
AMPdeam	FBgn0052626	FBtr0073833	protein_coding	0	29	0	59	0	2	6	1	0	53	0	0	0	0	2	0	0	0	0	25	1
AMPdeam	FBgn0052626	FBtr0301044	protein_coding	0	26	1	177	0	0	3	1	0	170	1	0	0	0	1	0	0	0	0	25	4
AMPdeam	FBgn0052626	FBtr0301045	protein_coding	0	25	0	105	0	1	4	1	0	95	0	0	0	0	1	0	0	0	0	23	6
AMPdeam	FBgn0052626	FBtr0301046	protein_coding	0	27	1	85	0	0	2	1	0	66	1	0	0	0	1	0	0	0	0	26	17
AMPdeam	FBgn0052626	FBtr0303292	protein_coding	0	27	1	85	0	0	2	1	0	66	1	0	0	0	1	0	0	0	0	26	17
AMPdeam	FBgn0052626	FBtr0309245	protein_coding	0	8	7	189	48	0	3	1	0	134	7	0	0	0	1	0	0	0	0	7	4
AMPdeam	FBgn0052626	FBtr0309246	protein_coding	0	27	1	85	0	0	2	1	0	66	1	0	0	0	1	0	0	0	0	26	17
AMPdeam	FBgn0052626	FBtr0340444	protein_coding	0	27	1	101	0	0	0	1	0	95	1	0	0	0	1	0	0	0	0	26	6
AMPdeam	FBgn0052626	FBtr0340445	protein_coding	0	27	1	85	0	0	2	1	0	66	1	0	0	0	1	0	0	0	0	26	17
AOX1	FBgn0267408	FBtr0083154	protein_coding	0	41	14	70	4	1	5	22	0	11	14	0	0	0	1	0	0	0	0	39	29
AOX2	FBgn0038348	FBtr0345258	protein_coding	1	56	24	65	0	1	1	25	0	16	24	0	0	0	0	0	1	0	0	55	23
AOX3	FBgn0038349	FBtr0083151	protein_coding	0	58	19	69	5	2	3	24	0	15	19	0	0	0	1	0	0	0	0	55	23
AOX3	FBgn0038349	FBtr0433535	protein_coding	0	60	19	81	5	4	12	24	0	15	19	0	0	0	1	0	0	0	0	55	26
AOX4	FBgn0038350	FBtr0083150	protein_coding	0	50	22	53	0	0	1	19	0	7	22	0	0	0	2	0	0	0	1	49	26
AP-1-2beta	FBgn0010380	FBtr0074789	protein_coding	0	28	1	32	2	0	0	14	0	13	1	0	0	0	1	0	0	0	0	27	4
AP-1gamma	FBgn0030089	FBtr0071294	protein_coding	0	42	4	100	2	0	1	21	0	62	4	0	0	0	5	0	0	0	0	37	19
AP-1gamma	FBgn0030089	FBtr0071295	protein_coding	0	42	4	82	2	0	1	21	0	56	4	0	0	0	5	0	0	0	0	37	7
AP-1gamma	FBgn0030089	FBtr0071296	protein_coding	0	42	4	100	2	0	1	21	0	62	4	0	0	0	5	0	0	0	0	37	19
AP-1gamma	FBgn0030089	FBtr0071297	protein_coding	0	42	4	82	2	0	1	21	0	56	4	0	0	0	5	0	0	0	0	37	7
AP-1gamma	FBgn0030089	FBtr0071298	protein_coding	0	42	4	82	2	0	1	21	0	56	4	0	0	0	5	0	0	0	0	37	7
AP-1gamma	FBgn0030089	FBtr0112965	protein_coding	0	42	4	82	2	0	4	21	0	53	4	0	0	0	5	0	0	0	0	37	7
AP-1gamma	FBgn0030089	FBtr0309254	protein_coding	0	42	4	75	2	0	1	21	0	46	4	0	0	0	5	0	0	0	0	37	10
AP-1gamma	FBgn0030089	FBtr0309255	protein_coding	0	42	4	82	2	0	4	21	0	53	4	0	0	0	5	0	0	0	0	37	7
AP-1gamma	FBgn0030089	FBtr0333808	protein_coding	0	44	4	82	2	1	3	21	0	54	4	0	0	0	6	0	0	0	0	37	7
AP-1mu	FBgn0024833	FBtr0082114	protein_coding	0	5	0	10	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	5	1
AP-1sigma	FBgn0039132	FBtr0084496	protein_coding	0	2	0	64	7	0	0	13	0	39	0	0	0	0	1	0	0	0	0	1	6
AP-1sigma	FBgn0039132	FBtr0305039	protein_coding	0	2	0	51	18	0	0	11	0	17	0	0	0	0	1	0	0	0	0	1	6
AP-1sigma	FBgn0039132	FBtr0305040	protein_coding	0	2	0	44	5	0	0	17	0	17	0	0	0	0	1	0	0	0	0	1	6
AP-1sigma	FBgn0039132	FBtr0335244	protein_coding	0	2	0	36	2	0	0	16	0	13	0	0	0	0	1	0	0	0	0	1	6
AP-2alpha	FBgn0264855	FBtr0089488	protein_coding	0	35	0	75	19	0	7	3	0	37	0	0	0	0	2	0	0	0	0	33	11
AP-2alpha	FBgn0264855	FBtr0089489	protein_coding	0	36	1	55	9	0	0	10	0	16	1	0	0	0	1	0	0	0	0	35	21
AP-2mu	FBgn0263351	FBtr0084252	protein_coding	0	26	3	35	9	0	0	13	0	7	3	0	0	0	1	0	0	0	0	25	7
AP-2mu	FBgn0263351	FBtr0084253	protein_coding	0	26	3	35	9	0	0	13	0	7	3	0	0	0	1	0	0	0	0	25	7
AP-2mu	FBgn0263351	FBtr0301866	protein_coding	0	27	3	34	5	0	0	13	0	11	3	0	0	0	2	0	0	0	0	25	7
AP-2sigma	FBgn0043012	FBtr0084103	protein_coding	0	1	1	22	1	0	0	11	0	1	1	0	0	0	0	0	0	0	0	1	9
APC10	FBgn0034231	FBtr0086951	protein_coding	0	6	0	40	0	0	0	25	0	1	0	0	0	0	1	0	0	0	0	5	15
APC4	FBgn0052707	FBtr0071285	protein_coding	0	10	2	11	0	0	1	3	0	1	2	0	0	0	0	0	0	0	0	10	6
APC4	FBgn0052707	FBtr0309872	protein_coding	0	10	2	11	0	0	1	3	0	1	2	0	0	0	0	0	0	0	0	10	6
APC7	FBgn0029879	FBtr0070946	protein_coding	1	36	10	23	0	0	0	4	0	11	10	0	0	0	0	1	0	0	0	36	8
APC7	FBgn0029879	FBtr0070947	protein_coding	0	33	9	30	0	2	10	4	0	6	9	0	0	0	0	0	0	0	0	31	10
APP-BP1	FBgn0261112	FBtr0076208	protein_coding	0	15	5	54	2	1	2	31	0	10	5	0	0	0	0	0	0	0	0	14	9
APP-BP1	FBgn0261112	FBtr0331179	protein_coding	0	14	5	53	2	0	0	31	0	10	5	0	0	0	0	0	0	0	0	14	10
AQP	FBgn0033807	FBtr0087766	protein_coding	0	31	4	123	7	0	5	24	0	40	4	0	0	0	3	0	0	0	0	28	49
AQP	FBgn0033807	FBtr0300286	protein_coding	0	29	4	136	7	0	2	24	0	68	4	0	0	0	1	0	0	0	0	28	36
ASPP	FBgn0034606	FBtr0071622	protein_coding	0	53	15	1093	20	2	7	37	0	969	15	0	0	0	1	0	0	0	0	50	61
ASPP	FBgn0034606	FBtr0071623	protein_coding	0	56	17	150	20	1	7	37	0	56	17	0	0	0	1	0	0	0	0	54	31
ASPP	FBgn0034606	FBtr0330232	protein_coding	0	55	15	1102	20	4	18	37	0	969	15	0	0	0	1	0	0	0	0	50	59
ATP6AP2	FBgn0037671	FBtr0081978	protein_coding	0	7	2	19	3	0	0	5	0	5	2	0	0	0	1	0	0	0	0	6	7
ATP7	FBgn0030343	FBtr0273257	protein_coding	0	24	7	84	1	0	0	3	0	79	7	0	0	0	0	0	0	0	0	24	1
ATP7	FBgn0030343	FBtr0334454	protein_coding	0	24	7	91	4	0	0	7	0	79	7	0	0	0	0	0	0	0	0	24	1
ATP8A	FBgn0259221	FBtr0299754	protein_coding	0	91	7	458	4	1	12	0	0	433	7	0	0	0	5	0	0	0	0	85	14
ATP8A	FBgn0259221	FBtr0299755	protein_coding	0	97	11	423	4	5	20	0	0	397	11	0	0	0	5	0	0	0	0	87	7
ATP8A	FBgn0259221	FBtr0299756	protein_coding	0	96	16	241	11	1	7	23	0	201	16	0	0	0	6	0	0	0	0	89	5
ATP8A	FBgn0259221	FBtr0299757	protein_coding	0	102	13	417	9	5	20	0	0	386	13	0	0	0	6	0	0	0	0	91	7
ATP8A	FBgn0259221	FBtr0299758	protein_coding	0	88	7	461	18	1	12	0	0	422	7	0	0	0	5	0	0	0	0	82	14
ATP8A	FBgn0259221	FBtr0299759	protein_coding	0	96	9	452	9	1	12	0	0	422	9	0	0	0	6	0	0	0	0	89	14
ATP8A	FBgn0259221	FBtr0299760	protein_coding	0	88	7	428	11	1	12	23	0	373	7	0	0	0	5	0	0	0	0	82	14
ATP8A	FBgn0259221	FBtr0299761	protein_coding	0	91	7	457	4	0	8	0	0	437	7	0	0	0	6	0	0	0	0	85	14
ATP8A	FBgn0259221	FBtr0299762	protein_coding	0	98	16	272	4	1	2	0	0	266	16	0	0	0	5	0	0	0	0	92	5
ATP8A	FBgn0259221	FBtr0299763	protein_coding	0	99	16	271	4	1	7	0	0	261	16	0	0	0	6	0	0	0	0	92	5
ATP8A	FBgn0259221	FBtr0299764	protein_coding	0	104	18	265	9	1	7	0	0	250	18	0	0	0	7	0	0	0	0	96	5
ATP8A	FBgn0259221	FBtr0299765	protein_coding	0	94	11	393	11	5	20	23	0	337	11	0	0	0	5	0	0	0	0	84	7
ATP8A	FBgn0259221	FBtr0303100	protein_coding	0	92	7	157	11	6	39	23	0	71	7	0	0	0	6	0	0	0	0	80	19
ATP8A	FBgn0259221	FBtr0306698	protein_coding	0	87	10	283	4	0	0	0	0	274	10	0	0	0	5	0	0	0	0	82	10
ATP8B	FBgn0037989	FBtr0300351	protein_coding	0	46	20	154	18	1	9	19	0	98	20	0	0	0	5	0	0	0	0	40	15
ATP8B	FBgn0037989	FBtr0307015	protein_coding	0	43	16	349	18	1	9	19	0	289	16	0	0	0	4	0	0	0	0	38	18
ATP8B	FBgn0037989	FBtr0307016	protein_coding	0	41	14	165	18	1	9	19	0	109	14	0	0	0	5	0	0	0	0	35	15
